id,Title,Date,Creator,Description,Provider,Thumbnail,URL
03922631869a3ae351413f8d80dd990b,"American Steel and Wire Company",,"United States. Army. Corps of Engineers. Pittsburgh District","A view of the Donora plant of the American Steel and Wire Company located alongside the Monongahela River.","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/03922631869a3ae351413f8d80dd990b,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0206
10e3262d0a4fce77b401b4e94bd870a4,"New Kensington Bridge",,"United States. Army. Corps of Engineers. Pittsburgh District","An image of the New Kensington Bridge from the right bank with a view of the factories along the Allegheny River.","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/10e3262d0a4fce77b401b4e94bd870a4,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0011
112a1405024a611b0feda4fedf107e94,"Rodger Sand Company and Iron City Sand Company in Allegheny River",,"United States. Army. Corps of Engineers. Pittsburgh District","An image of boats for the Rodger Sand Company and Iron City Sand Company on the Allegheny River in downtown Pittsburgh. The Wabash Building, Phipps Power Building, and Rosenbaum Co. warehouse are amon…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/112a1405024a611b0feda4fedf107e94,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0199
15482411bedbf872702bab780af0885a,"H.J. Heinz Company Main Plant from Troy Hill",,,"The H.J. Heinz Company Main Plant (center) on the north shore of the Allegheny River (left center), between the tracks of the Pennsylvania Railroad and the Baltimore and Ohio Railroad, opposite downto…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/15482411bedbf872702bab780af0885a,http://historicpittsburgh.org/islandora/object/pitt%3AMSP57.B021.I04
15edfad2f0a7657c9d531042e933d5d8,"Carnegie Steel Company Plant",,"United States. Army. Corps of Engineers. Pittsburgh District","An image of a Carnegie Steel Company plant along the Monongahela River. Coal barges and a riverboat can be seen in the river.","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/15edfad2f0a7657c9d531042e933d5d8,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0205
18267a06b7b40779d5cf75247e2107f0,"Carnegie Steel Company Lucy Furnaces",,"United States. Army. Corps of Engineers. Pittsburgh District","The Carnegie Steel Company's Lucy Furnaces, located along the Allegheny River.","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/18267a06b7b40779d5cf75247e2107f0,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0012
1a321497f91a2e58046ec27a16a8485b,"Riverboat and Coal Barges by Ohio River Portion of Pittsburgh Harbor",,"United States. Army. Corps of Engineers. Pittsburgh District","An image of the Midland steamboat with Crucible Coal barges near the Ohio River portion of the Pittsburgh Harbor. The Manchester Bridge can be seen in the distance.","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/1a321497f91a2e58046ec27a16a8485b,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0132
1aac96465fd56b4c4e45414d4e4f870b,"Coal Fleet by Monongahela River Portion of Pittsburgh Harbor",,"United States. Army. Corps of Engineers. Pittsburgh District","An image of a coal barge fleet near the Monongahela River portion of the Pittsburgh Harbor. The steamboat Alice Brown can be seen near the Monongahela Wharf. Water Street and the Wabash Bridge Railroa…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/1aac96465fd56b4c4e45414d4e4f870b,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0133
40957c37fb367c79e7f991355afbca15,"Steamboats and coal barges in the Monongahela River (2)",,,"A view of coal barges and steamboats the Enterprise, Charlotte, Ed Roberts, and Rebecca near the Point in downtown Pittsburgh. Exposition Hall can be seen in the distance.","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/40957c37fb367c79e7f991355afbca15,http://historicpittsburgh.org/islandora/object/pitt%3A20180205-hpichswp-0003
45a81c1a6f0b3d0de4df99813777f7d7,"Boat in Floating Dock Near Monongahela River Lock 4",,"United States. Army. Corps of Engineers. Pittsburgh District","An image of the steamboat Kittanning and other unidentified boats with workers stationed at a floating dock near Lock 4 of the Monongahela River. This lock and dam was located near Charleroi, Pa.","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/45a81c1a6f0b3d0de4df99813777f7d7,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0236
